date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:39:21	120/120	---M--	200	added ('OK')	text/plain	etag:%2265a5507d-78%22	https://www.cezam.fr/robots.txt		(from )
14:39:21	270/270	---MC-	302	error ('Found')	text/html	date:Sun,%2003%20Mar%202024%2013:39:21%20GMT	https://www.cezam.fr/	C:/My%20Web%20Sites/https___www.cezam.fr_11/www.cezam.fr/index.html	(from )
14:39:21	22364/22364	---MC-	200	added ('OK')	text/html	date:Sun,%2003%20Mar%202024%2013:39:21%20GMT	https://www.cezam.fr/cezam	C:/My%20Web%20Sites/https___www.cezam.fr_11/www.cezam.fr/cezam.html	(from https://www.cezam.fr/)
14:39:21	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%2265a5507d-3aee%22	https://www.cezam.fr/favicon.ico?version=a60399fe	C:/My%20Web%20Sites/https___www.cezam.fr_11/www.cezam.fr/favicon1820.ico	(from https://www.cezam.fr/cezam)
14:39:22	292393/292393	---M--	200	added ('OK')	text/css	etag:%2265a63974-47629%22	https://www.cezam.fr/build/layout/cezam/css/main.css?version=a60399fe	C:/My%20Web%20Sites/https___www.cezam.fr_11/www.cezam.fr/build/layout/cezam/css/main1820.css	(from https://www.cezam.fr/cezam)
14:39:23	1389272/1389272	---M--	200	added ('OK')	application/javascript	etag:%2265a63974-1532d8%22	https://www.cezam.fr/build/layout/cezam/js/main.js?version=a60399fe	C:/My%20Web%20Sites/https___www.cezam.fr_11/www.cezam.fr/build/layout/cezam/js/main1820.js	(from https://www.cezam.fr/cezam)
14:39:23	107090/107090	---M-Z	200	added ('OK')	application/javascript	etag:%221a252-5dee587cc209c-gzip%22	https://consent.extrazimut.net/consent.js	C:/My%20Web%20Sites/https___www.cezam.fr_11/consent.extrazimut.net/consent.js	(from https://www.cezam.fr/cezam)
14:39:23	16020/16020	---MC-	200	added ('OK')	text/html	date:Sun,%2003%20Mar%202024%2013:39:23%20GMT	https://www.cezam.fr/qui-sommes-nous-1	C:/My%20Web%20Sites/https___www.cezam.fr_11/www.cezam.fr/qui-sommes-nous-1.html	(from https://www.cezam.fr/cezam)
14:39:24	17077/17077	---MC-	200	added ('OK')	text/html	date:Sun,%2003%20Mar%202024%2013:39:24%20GMT	https://www.cezam.fr/formations-cse	C:/My%20Web%20Sites/https___www.cezam.fr_11/www.cezam.fr/formations-cse.html	(from https://www.cezam.fr/cezam)
14:39:24	16216/16216	---MC-	200	added ('OK')	text/html	date:Sun,%2003%20Mar%202024%2013:39:24%20GMT	https://www.cezam.fr/assistance-technique-cse	C:/My%20Web%20Sites/https___www.cezam.fr_11/www.cezam.fr/assistance-technique-cse.html	(from https://www.cezam.fr/cezam)
14:39:24	13756/13756	---MC-	200	added ('OK')	text/html	date:Sun,%2003%20Mar%202024%2013:39:25%20GMT	https://www.cezam.fr/billetterie-cse	C:/My%20Web%20Sites/https___www.cezam.fr_11/www.cezam.fr/billetterie-cse.html	(from https://www.cezam.fr/cezam)
14:39:25	15217/15217	---MC-	200	added ('OK')	text/html	date:Sun,%2003%20Mar%202024%2013:39:25%20GMT	https://www.cezam.fr/carte-cezam-1	C:/My%20Web%20Sites/https___www.cezam.fr_11/www.cezam.fr/carte-cezam-1.html	(from https://www.cezam.fr/cezam)
14:39:25	14756/14756	---MC-	200	added ('OK')	text/html	date:Sun,%2003%20Mar%202024%2013:39:25%20GMT	https://www.cezam.fr/animations-culturelles-cse	C:/My%20Web%20Sites/https___www.cezam.fr_11/www.cezam.fr/animations-culturelles-cse.html	(from https://www.cezam.fr/cezam)
